poses 0	194.908000000	-0.00667198205511	-1.01018975901e-06	-8.95032029585e-06
poses 0	194.943000000	-0.00667345812138	-1.01037771146e-06	-8.95271780818e-06
poses 0	194.977000000	-0.00667493429085	-1.01056597208e-06	-8.95513636373e-06
poses 0	195.11000000	-0.00667641056349	-1.01075454123e-06	-8.95757365835e-06
poses 0	195.45000000	-0.00667788693932	-1.01094342e-06	-8.96002855107e-06
poses 0	195.79000000	-0.00667936341828	-1.01113260899e-06	-8.96250111639e-06
poses 0	195.113000000	-0.00668084000025	-1.01132210992e-06	-8.9649938123e-06
poses 0	195.147000000	-0.00668231668522	-1.01151192375e-06	-8.96750507844e-06
poses 0	195.181000000	-0.00668379347306	-1.01170205141e-06	-8.97003447677e-06
poses 2	195.215000000	-0.00668527036364	-1.01189249456e-06	-8.9725826052e-06
poses 2	195.249000000	-0.00668674735695	-1.01208325417e-06	-8.97514786884e-06
poses 2	195.283000000	-0.00653004741888	-9.98808757747e-07	-8.96219565536e-06
poses 2	195.317000000	-0.00528004694281	-9.90209057445e-07	-8.64127965437e-06
poses 2	195.351000000	-0.00128234976965	-1.11581107961e-06	-6.88435502474e-06
poses 2	195.385000000	0.00550865672061	-1.35064277962e-06	-3.31743482131e-06
poses 2	195.419000000	0.0152136916988	-1.6022067334e-06	2.44833408795e-06
poses 2	195.453000000	0.0278517480542	-1.7674756225e-06	1.01387923238e-05
poses 2	195.487000000	0.0433873505515	-1.74847486882e-06	1.94531046387e-05
poses 2	195.521000000	0.0602881338115	-1.46293659497e-06	2.98853093661e-05
poses 2	195.555000000	0.0772875483796	-9.40623926858e-07	4.04708787447e-05
poses 2	195.589000000	0.094310119409	-2.21008399345e-07	5.08895111719e-05
poses 2	195.624000000	0.111335217067	6.02441443e-07	6.10852967297e-05
poses 2	195.657000000	0.128361808869	1.36113603653e-06	7.08224725684e-05
poses 2	195.691000000	0.145389908469	2.21992454197e-06	8.04472119728e-05
poses 2	195.725000000	0.162418862629	3.22234507104e-06	9.0126201671e-05
poses 2	195.759000000	0.179447845805	4.37704448533e-06	9.98855442938e-05
poses 2	195.793000000	0.196476035109	5.64069642191e-06	0.000109643231
poses 2	195.827000000	0.213502638046	6.73361428484e-06	0.000118896764523
poses 2	195.865000000	0.230526906236	7.46306312163e-06	0.000126928276785
poses 2	195.895000000	0.247548150844	8.22085685782e-06	0.000134564072454
poses 2	195.929000000	0.264565762398	9.11560929809e-06	0.000142122263867
poses 2	195.963000000	0.281579226899	1.01783641672e-05	0.000149556775752
poses 2	195.997000000	0.298588139793	1.13833970301e-05	0.000156964866414
poses 2	196.31000000	0.315592217496	1.29435770594e-05	0.000163892261752
poses 2	196.65000000	0.332591304768	1.49103875733e-05	0.000170088964113
poses 2	196.99000000	0.349585378199	1.70406115691e-05	0.000176028176927
poses 2	196.133000000	0.366574547913	1.92850269544e-05	0.000181873547849
poses 2	196.167000000	0.383559053945	2.16348485728e-05	0.000187656706257
poses 3	196.201000000	0.400538043279	2.36214311093e-05	0.000192569332285
poses 3	196.233000000	0.417506013068	2.41681063822e-05	0.000193784915445
poses 3	196.269000000	0.43446857579	2.43770360548e-05	0.000193343150951
poses 3	196.304000000	0.451430560606	2.45298345153e-05	0.000192327618629
poses 3	196.337000000	0.468394473729	2.46731857086e-05	0.000191104047273
poses 3	196.371000000	0.485361493122	2.48133300226e-05	0.00018978730436
poses 3	196.405000000	0.502331646352	2.49505081602e-05	0.000188423997252
poses 3	196.435000000	0.519303806926	2.50861688324e-05	0.000187017592582
poses 3	196.473000000	0.536275537677	2.52236354796e-05	0.000185587984914
poses 3	196.507000000	0.553246910137	2.53585696311e-05	0.000184295543179
poses 3	196.541000000	0.570220162374	2.54793848961e-05	0.000182729463103
poses 3	196.575000000	0.587197129781	2.55856750843e-05	0.000181171108397
poses 3	196.609000000	0.60417838215	2.56792734529e-05	0.00017959575754
poses 3	196.643000000	0.621164260727	2.57585085982e-05	0.000178000921639
poses 3	196.677000000	0.638155097904	2.58207134207e-05	0.000176392574687
poses 3	196.711000000	0.655151107784	2.58629610119e-05	0.000174774234628
poses 3	196.745000000	0.672152346754	2.58821873623e-05	0.000173151738724
poses 3	196.779000000	0.689158718536	2.58754715614e-05	0.000171536126586
poses 3	196.813000000	0.706169976625	2.58401644363e-05	0.000169936309597
poses 3	196.847000000	0.7231857373	2.57741008613e-05	0.000168358475682
poses 3	196.881000000	0.740205494915	2.5675775213e-05	0.00016680255204
poses 3	196.915000000	0.757228640186	2.55448785972e-05	0.00016527790786
poses 3	196.949000000	0.774254480094	2.53868492744e-05	0.000163801502163
poses 3	196.983000000	0.791282258396	2.51702569658e-05	0.000162333099353
poses 3	197.17000000	0.808311175905	2.49233097696e-05	0.000160906463171
poses 3	197.51000000	0.825340410685	2.46498127333e-05	0.000159517848275
poses 3	197.86000000	0.842369139594	2.49271263148e-05	0.000157052333841
poses 3	197.123000000	0.859396558022	2.63276439709e-05	0.000151778957274
poses 3	197.153000000	0.8764218923	2.79601973452e-05	0.000145584501527
poses 3	197.187000000	0.893444425621	2.95488951099e-05	0.000139108629056
poses 4	197.221000000	0.91046351458	3.09782661826e-05	0.000132451743106
poses 4	197.257000000	0.927478617537	2.96311453898e-05	0.000125119842262
poses 4	197.289000000	0.944489284075	2.62124561244e-05	0.000117634856586
poses 4	197.323000000	0.961495175221	2.25780894821e-05	0.000110768692197
poses 4	197.359000000	0.978496088566	1.88762557426e-05	0.000104297740426
poses 4	197.391000000	0.995491956833	1.74588068539e-05	9.8560968148e-05
